OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
198,4/6/2004 8:00 PM,,MRV134A_202,,IRON,Rockbridge,Buena Vista,1,Follow road up to the big DANA factory in Buena Vista. The site is licated half a mile to the south of the parking lot. There is a trail leading from the parking lot to the site (this is the old road).,C,-79.33,37.746,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.4936
199,4/6/2004 8:00 PM,9/9/2014 8:00 PM,MRV134A_206,,MANGANESE,Rockbridge,Buena Vista,0.2,Located directly behind the DANA parking lot on the south side. There is an old road that leads from the parking lot to the base of the hill on which the site is. The site is about half a mile from the parking lot and about 30 yards up the slope from the old trail.,C,-79.326,37.75,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.2612
200,3/19/1987 7:00 PM,10/24/2023 8:00 PM,"MRV156B_812-817, 901-902",ANDES POND (VESUVIUS MINE),MANGANESE,Augusta,Vesuvius,30,"    Vesuvius Mine: Located one mile on 56 E from Vesuvius, left on 608 for .7 miles, right on 702 for .5 miles. (Bishop)  Take the Blue Ridge Parkway to 56East (Tye River Rd).  Turn right on county road 608 (S. Bottom Rd).  Turn right on county road 702.  Cross the RR tracks and follow the road to the “end of road maintenance sign”.  Follow the left trail by foot.  The site is on the right of the trail. (Canupp)",Reclaimed,-79.172,37.913,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0,0.2254
201,9/28/1987 8:00 PM,4/11/2017 8:00 PM,MRV109A_501,BLUE RIDGE IRON,IRON,Botetourt,Villamont,3,Blue Ridge Iron: Located two miles NW of Blue Ridge Springs across from Blue Ridge Quarries mine site off Rt. 767.,B,-79.834,37.42,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,3,0.9119
202,9/20/2001 8:00 PM,,MRV189C_303,,COAL,Augusta,Stokesville,1," Dora Coal Mine: Take 728 to 730 W.  At the fork in the road, near Stokesville, take 718 towards the right.  The mine is 25 miles ahead on the right.",C,-79.159,38.361,Unnamed tributary,"North River and its tributaries from its confluence with the South River upstream to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,1,0.6173
203,5/19/1988 8:00 PM,9/2/2020 8:00 PM,MRV27C_101,BOWMAN MINE,ZINC,Scott,Indian Springs,2," Bowman Mine: Located 300' W of Bancroft Chapel on Rt. 704, E of Carter Valley Road.",Reclaimed,-82.459,36.598,Unnamed tributary,"North Fork Holston River and its tributaries, unless otherwise designated in this chapter, from the Virginia/Tennessee state line to their headwaters, and those sections of Timbertree Branch and Boozy Creek in Virginia.",Tennessee-Holston,2,0.4384
204,9/23/2004 8:00 PM,2/23/2017 7:00 PM,MRV157D_610,,MANGANESE,Rockbridge,Cornwall,1,From Road 808 cross concrete bridge.  Follow path on left side of road (wooden structure on right near path entrance).  At fork in path bear left.,C,-79.277,37.829,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.5886
205,9/23/2004 8:00 PM,,MRV157D_613,,MANGANESE,Rockbridge,Cornwall,1,From Road 808 cross concrete bridge.  Follow path on left side of road (wooden structure on right near path entrance).  At fork bear left.,C,-79.278,37.831,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.4293
206,10/1/2004 8:00 PM,3/22/2016 8:00 PM,MRV133D_909,,COPPER,Amherst,Amherst,0," 29S, left on 624.  Park in turnaroudn area - walk on path (chain-link gate).  Walk through woods until clear cut area.  Left on pathway in clear-cut on right.",,-79.011,37.512,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,2.7101
207,10/1/2004 8:00 PM,,MRV133D_912,,COPPER,Amherst,Amherst,1,From 624 follow along till the bend in the road making a right onto forestry road before the cemetary,C,-79.011,37.511,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,2.6744
208,9/23/2004 8:00 PM,,MRV157D_611,,IRON,Rockbridge,Cornwall,1,From Route 808 near Midvale head south then cross the woodenbridge across the river.  Following along the path until a path appears to your left in the woods.  Follow the path until the fork in the path and head left past the buildings and foundations.  Continue along the path until it ends.  The site will be on your right.,C,-79.277,37.83,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.5477
209,9/23/2004 8:00 PM,,MRV157D_609,,MANGANESE,Rockbridge,Cornwall,1,From Route 808 near Midvale head south then cross the woodenbridge across the river.  Following along the path until a path appears to your left in the woods.  Follow the path until the fork in the path and head left the buildings and foundations will be around you and to the left.,C,-79.28,37.828,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.4059
210,10/1/2004 8:00 PM,10/30/2017 8:00 PM,MRV133D_907,,COPPER,Amherst,Amherst,1,"    Route 624 past early lake farms until you come to a curve in the road with a opening and gated road on your right, then straight into the woods until you come across a large clear cut. Site 907 is the furthest south workings and is a pit.  ",C,-79.014,37.508,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,2.8542
211,10/11/2004 8:00 PM,,MRV17C_610,,MICA,Henry,Price,1,"   from Road 220S, left on Road 734.  Park at road bend.  Walk down to path (house on right).  Site is on right side of road/path.",C,-79.881,36.553,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.9957
212,10/11/2004 8:00 PM,,MRV17C_614,,MICA,Henry,Price,1,"  From Road 220S, make a left on Road 734.  Park at road bend and walk down trail past house on right.  Site is located on the right hand side of the path beside the stream.",C,-79.883,36.55,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.7428
213,10/10/2004 8:00 PM,,MRV17D_112,,MICA,Henry,Northwest Eden,1," From Road 220S, make a left onto Road 902.  Park in front of Briggs Auto Service.  Walk into ravine behind building .  Site is located on left in ravine.",C,-79.86,36.59,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,0.7452
214,10/10/2004 8:00 PM,,MRV17D_113,,MICA,Henry,Northwest Eden,1," From Road 220S, bear left onto 220 bypass.  Make a right onto Road 639, a right onto Road 638, left onto Road 640, park near field on left immediately after snake in road.  Walk through field and enter woods.  Go down and around ravine.  Climb up ravine and site is located through the woods on the right.",C,-79.84,36.597,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.4999
215,10/23/2004 8:00 PM,,MRV157D_619,,IRON,Rockbridge,Cornwall,1,"  Following 603 east until the road has a sharp bend and turns northeast, there will be a trail that heads north on your left.  Follow the path trail north along the ridgeline the site is right off the trail.",C,-79.274,37.819,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.4496
216,10/23/2004 8:00 PM,,MRV157D_620,,IRON,Rockbridge,Cornwall,1,"   Following 603 east until the road has a sharp bend and turns northeast, there will be a trail that heads north on your left.  Follow the path trail north along the ridgeline the site is right off the trail.",C,-79.274,37.82,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.3719
217,10/23/2004 8:00 PM,3/28/2016 8:00 PM,MRV157D_623,,IRON,Rockbridge,Cornwall,1,"  Following 603 east until the road has a sharp bend and turns northeast, there will be a trail that heads north on your left.  Follow the path trail north along the ridgeline the site is right off the trail.",C,-79.275,37.817,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.5550
218,10/23/2004 8:00 PM,,MRV157D_624,,IRON,Rockbridge,Cornwall,1,"   Following 603 east until the road has a sharp bend and turns northeast, there will be a trail that heads north on your left.  Follow the path trail north along the ridgeline the site is right off the trail.",C,-79.275,37.818,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.4707
219,12/7/2004 7:00 PM,,MRV134D_902,,IRON,Amherst,Big Island,1," Take Blue Ridge Parkway and make a left on 650.  Site is off of the road, but further down the hill than is marked on the map",C,-79.285,37.516,Unnamed tributary,"James River and its tributaries from, but not including, the Rockfish River to Balcony Falls, unless otherwise designated in this chapter.",James-Middle,1,0.3367
220,12/7/2004 7:00 PM,,MRV134D_903,,IRON,Amherst,Big Island,1," From Blue Ridge Parkway, make a left onto Road 130.  Make a right onto Road 650.  After about 1.5 miles, park in front of house with Budweiser sign.  Site is across the street, downslope and in front of lake.",C,-79.287,37.52,Unnamed tributary,"James River and its tributaries from, but not including, the Rockfish River to Balcony Falls, unless otherwise designated in this chapter.",James-Middle,1,0.0575
221,12/4/2004 7:00 PM,9/8/2014 8:00 PM,MRV106D_310,Ryan Prospect,MANGANESE,Campbell,Rustburg,1," Take 29 South to 460 East Business to 460 East.  When you see the Oxford Hills Furnace sign on the opposite side of the road, make a U-turn as soon as possible and park next to the sign.  Walk up the hill and towards the house (slightly to your right).  Site 310 is to the left of the house (if you are facing the back of it) and just past the fringe of the woods.",C,-79.04,37.375,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.3240
222,12/4/2004 7:00 PM,,MRV106A_923,,MANGANESE,Campbell,Kelly,1," Take 29 South to route 725 West, take a right onto 609, follow until there is a house directly across from turn to route 611.  Walk to the back of the property across from 611 in an SW direction.  Once you find the farm pond, follow the stream until you find the site (right hand side of stream, directly after a confluence). ",C,-79.019,37.387,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.6257
223,10/29/2004 8:00 PM,,MRV134A_207,,IRON,Buena Vista,Buena Vista,1,"  Take 64W to 81S, get off at the Buena Vista exit (60 East).  Follow 60 East out of Buena Vista until you see a run away truck ramp on your left.  The site is just up the ramp, but do not park there or else you will get a ticket.  ",C,-79.334,37.742,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.8745
224,10/23/2004 8:00 PM,,MRV157D_616,,IRON,Rockbridge,Cornwall,1," From Interstate 81, take Rt.11 North from Lexington. Right on Rt. 714, left on Rt. 706 when 714 ends. Right on Rt. 714 at Donaldsburg sign. Left at the fork, cross railroad tracks and turn right onto Rt.608/South River Rd. Take 603 into the George Washington National Forest, cross river and continue to path on left. Hike approx. 1 mile up path to the top of the ridge.  ",C,-79.278,37.815,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.5801
225,10/23/2004 8:00 PM,,MRV157D_617,,IRON,Rockbridge,Cornwall,1," From Interstate 81, take Rt.11 North from Lexington. Right on Rt. 714, left on Rt. 706 when 714 ends. Right on Rt. 714 at Donaldsburg sign. Left at the fork, cross railroad tracks and turn right onto Rt.608/South River Rd. Take 603 into the George Washington National Forest, cross river and continue to path on left. Hike approx. 1 mile up path to the top of the ridge.  ",C,-79.276,37.817,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.4997
226,10/23/2004 8:00 PM,,MRV157D_618,,IRON,Rockbridge,Cornwall,1," From Interstate 81, take Rt.11 North from Lexington. Right on Rt. 714, left on Rt. 706 when 714 ends. Right on Rt. 714 at Donaldsburg sign. Left at the fork, cross railroad tracks and turn right onto Rt.608/South River Rd. Take 603 into the George Washington National Forest, cross river and continue to path on left. Hike approx. 1 mile up path to the top of the ridge. ",C,-79.276,37.818,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.4134
227,10/23/2004 8:00 PM,3/28/2016 8:00 PM,MRV157D_625,,IRON,Rockbridge,Cornwall,0,"From Interstate 81, take Rt.11 North from Lexington. Right on Rt. 714, left on Rt. 706 when 714 ends. Right on Rt. 714 at Donaldsburg sign. Left at the fork, cross railroad tracks and turn right onto Rt.608/South River Rd. Take 603 into the George Washington National Forest, cross river and continue to path on left. Hike approx. 1 mile up path to the top of the ridge.  ",C,-79.276,37.817,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,2.4997
228,12/10/2004 7:00 PM,,MRV106A_831,,MANGANESE,Campbell,Kelly,1,"  From Rt. 29 south, take Rt. 460 east to Rt. 726, to Rt. 609. Take a left on Rt. 799 and continue straight until the road dead ends. Continue going straight through driveway, site approx 5ft from fence of back yard. ",C,-79.043,37.396,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.5823
229,12/10/2004 7:00 PM,,MRV106A_626,,MANGANESE,Appomattox,Kelly,1," From Rt. 29 south, take Rt. 460 east to Rt. 726, to Rt. 609. Take a left on Rt. 611, left at split onto Rt. 750. Continue approx. ½ mile. House on left before T in road. Hike over ridge on right to road cut. Site is in the second valley on the left approx. 30ft up the ridge on the left. Property owned by Stone Ridge Enterprises. ",C,-79.004,37.427,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.5552
230,12/10/2004 7:00 PM,,MRV106A_615,,MANGANESE,Appomattox,Kelly,1," From Rt. 29 south, take Rt. 460 east to Rt. 726, to Rt. 609. Take a left on Rt. 611, left at split onto Rt. 750. Continue approx. ½ mile. House on left before T in road. Site is approx. 4ft off road on the right down the ridge.",C,-79.011,37.426,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.6235
231,9/23/2004 8:00 PM,,MRV157D_614,,IRON,Rockbridge,Cornwall,1," Driving Directions: Route 11 South, left onto 714, right onto 706, left onto 714, pass the railroad tracks, make a right at the end of the road.  There is a bridge where the red arrow is, that leads to a path. Travel the gravel path, this site is located at the right of the fork in a clearing, with no trees.   ",C,-79.277,37.831,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.5139
232,12/4/2004 7:00 PM,,MRV106A_901,,MANGANESE,Campbell,Kelly,1," Route 29 South, make a right onto 460 East (501 South) towards Appomattox - 460 East turns into Richmond Hwy. Turn back on Richmond Hwy and stop near the Oxford Furnace (historical sign).  Walk up the ridge line to the right side of the valley.  At the top is where the site is located, less than 30ft from a house.  ",C,-79.04,37.375,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.3240
233,12/4/2004 7:00 PM,,MRV106A_921,,IRON,Campbell,Kelly,1,"  Route 29 South, make a right onto 460 East (501 South) towards Appomattox - 460 East turns into Richmond Hwy.  From 460 East turn right onto 726.  Make a right onto 609, left onto Napier drive then a right onto Mockingbird lane, drive up to the gate.  Past the gate walk the path less the 50ft feet away on the gravel path, two your left side you will see a collapsed tunnel or possible gully.  ",C,-79.021,37.402,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.9838
234,10/10/2004 8:00 PM,,MRV17D_114,,MICA,Henry,Northwest Eden,1," Route 220 South. Left on 782. Right on 639. Right after the sign for 638, there is a bend in the road, stop around where it curves back in.  The site is located in the woods, down the valley, and across the stream, behind the residential area.   ",C,-79.839,36.597,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.5768
235,10/11/2004 8:00 PM,,MRV17C_609,,MICA,Henry,Price,1," Route 220 South, left onto 734.  Park at road bend. Pass house on the right, follow the forest service road.  This site is located to the right, past the clear field, and entering the wooded area. ",C,-79.882,36.554,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.9650
236,10/11/2004 8:00 PM,,MRV17C_613,,MICA,Henry,Price,1,"  Route 220 South, left onto 734.  Park at road bend. Pass house on the right, follow the forest service road.  This site is located to the right close to the end of the gravel path. ",C,-79.887,36.55,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.3860
237,10/11/2004 8:00 PM,6/7/2015 8:00 PM,MRV17C_623,,MICA,Henry,Price,0,"  Route 220 South, left onto 734.  Park at road bend. Pass house on the right, follow the forest service road.  This site is located to the left, very visible from the gravel path, because large.  ",B,-79.88,36.554,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.1229
238,12/4/2004 7:00 PM,,MRV106A_924,,MANGANESE,Campbell,Kelly,1," Route 29 South, make a right onto 460 East (501 South) towards Appomattox - 460 East turns into Richmond Hwy.  From 460 East turn right onto 726.  Make a right onto 609,  across from 611 make a left onto the gravel path that leads to a brand new house.  Travel behind the house pass the creek, cut across 3 valleys. Site is located in this vicinity.  ",C,-79.017,37.389,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.4236
239,12/10/2004 7:00 PM,,MRV106A_625,,MANGANESE,Appomattox,Kelly,1,"  Route 29 South, make a right onto 460 East (501 South) – 460 East Appomattox.  From 460 turn onto 726 East, then take a right onto 609 and a left onto 611.  Turn left on Chestnut Mountain Rd and right on Mt Athos.  Located on the left side of the road before the residential area.  Walked through the woods to the left, in the valley behind the homes.  The valley leads to a gravel road, the site is located where the valley meets the path.    ",C,-79.006,37.426,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.4221
240,12/10/2004 7:00 PM,,MRV106A_627,,MANGANESE,Appomattox,Kelly,1,"  Route 29 South, make a right onto 460 East (501 South) – 460 East Appomattox.  From 460 turn onto 726 East, then take a right onto 609 and a left onto 611.  Turn left on Chestnut Mountain Rd and right on Mt Athos.  Located on the left side of the road before the residential area.  Walked through the woods to the left, in the valley behind the homes.  The valley leads to a gravel road, on the other side lie a cluster of trees. Pass the cluster of trees where the no trespassing sign is, walk up the right side of the valley and then along the ridge line.  The site is located on the slope facing east.  ",C,-79.004,37.427,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.5552
241,12/10/2004 7:00 PM,,MRV106A_911,,IRON,Campbell,Kelly,1," Route 29 South, make a right onto 460 East (501 South) – 460 East Appomattox.  From 460 turn onto 726 East, then take a right onto 609 and a left onto Pettigrew.  Then left onto Doewood pl. drive up to then of the cul de sac.  This site is located in the field in this residential neighborhood.   ",C,-79.042,37.397,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.6161
242,10/1/2004 8:00 PM,11/6/2017 7:00 PM,MRV133D_909,Christian Copper Mine,COPPER,Amherst,Amherst,1,"  From Charlottesville, take 29S.  From 29S, make a left onto Road 624.  Park in the turnaround area (on right).  The road is gated with a chain.  Walk through the woods on left, until reaching a clearcut area.  In the clear cut, follow the path on the left.  Pits are located on the right. 909 is pit on side of the road closest to the woods.  It is opposite of 910.",C,-79.012,37.51,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,2.7283
243,2/17/2005 7:00 PM,9/9/2015 8:00 PM,MRV154C_902,,GOLD,Albemarle,Schuyler,1,"    From the North, Route 602 to Mt. Alto, left onto Route 735 to Mt. Alto Baptist Church.  Left onto narrow woods road to gate at abandoned house.  Walk along power line past 2.5 towers.  Site is aprrox 300 ft downslope from power line and approx 100 ft upslope from Hog Creek.",C,-78.66,37.766,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.5204
244,3/9/2005 7:00 PM,,MRV47C_801,,MICA,Pittsylvania,Chatham,1," FROM BUSINESS RTE 29 IN CHATHAM, TAKE RTE 57 WEST, THEN SOUTH ON RTE 823, THEN EAST ON RTE 703, THEN SOUTH ON RTE 822 (PONDEROSA DR.)  GO APPROX 2,000 FT ON RTE 822 TO FARM ACCESS GATE ON RIGHT.  PARK AT GATE AND WALK APPROX 800 FEET TO THE SOUTHWEST ACROSS PASTURE TO PROSPECT AREA (TWO DISTINCT DEPRESSIONS EACH APPROX 5 FT IN DIAMETER) ",C,-79.423,36.782,Unnamed tributary,"Dan River and its tributaries from the John Kerr Reservoir to the Virginia/North Carolina state line just east of the Pittsylvania/Halifax County line, unless otherwise designated in this chapter.",Roanoke,1,0.2578
245,3/10/2005 7:00 PM,10/18/2017 8:00 PM,MRV48D_701,,MICA,Pittsylvania,Callands,2," FROM BUSINESS ROUTE 29 AT CHATHAM, TAKE ROUTE 57 WEST TO CALLANDS, THEN ROUTE 41 SOUTH TO LIBERTY CHURCH LOCATED ON RIGHT APPROX 1,000 FT. SOUTH OF ROUTE 817 INTERSECTION.  PARK IN CHURCH LOT.  EVIDENCE OF RAW MATERIAL JUST TO THE REAR OF CHURCH CEMETARY WEST OF CHURCH.  MAIN PROSPECT IS ON WOODED KNOLL WNW OF CHURCH.  FOLLOW DRAINAGE WEST OF CHURCH CEMETARY TO EDGE OF FARM FIELD.  FOLLOW EDGE OF FIELD TO THE NW PAST DENSE PINES TO PROSPECT SITE AT WOODED KNOLL ON THE RIGHT.   ",C,-79.59,36.776,Unnamed tributary,"Banister River and its tributaries from point below its confluence with Bearskin Creek (at latitude 36deg46'15""; longitude 79deg27'08"") just east of Route 703, upstream to their headwaters.",Roanoke,2,0.2395
246,3/16/2005 7:00 PM,,MRV130D_402,,IRON,Buckingham,Gold Hill,0.25,FROM ZION CROSSROADS TAKE ROUTE 15 SOUTH TO GOLD HILL THEN LEFT (EAST) ON ROUTE 617 TO GRAVEL HILL THEN RIGHT (SOUTH) ON 668.  SITE IS ON THE EAST SIDE OF 668 APPROX 300 FEET PAST THE ROUTE 760 INTERECTION.,C,-78.374,37.569,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0.25,0.4096
247,3/16/2005 7:00 PM,,MRV104D_505,,MICA,Prince Edward,Prospect,0.5,"   FROM FARMVILLE GO WEST ON ROUTE 460 THEN LEFT (SOUTH) ON ROUTE 608 JUST EAST OF PROSPECT, VA.  TAKE ROUTE 608 INTO PROSPECT, VA - JUST PAST THE POST OFFICE 608 BECOMES 693.  BEAR TO THE LEFT ON 693 -- GO 0.4 MILES (CROSS TRIBUTARY).  PARK ON WEST SIDE OF 693 - SITE IS APPROX 50 - 100 FEET INTO THE WOODS ON THE WEST SIDE OF 693. ",C,-78.562,37.297,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,0.5,0.8865
248,3/17/2005 7:00 PM,,MRV130D_401,,IRON,Buckingham,Gold Hill,0," FROM ZION CROSSROADS TAKE ROUTE 15 SOUTH TO BELOW GOLD HILL THEN LEFT (EAST) ON 617 TO GRAVEL HILL THEN RIGHT (SOUTH) ON 668.  CROSS OVER HATCHER CREEK AND PARK IN DRIVEWAY OF FIRST RESIDENCE ON LEFT AFTER CROSSING CREEK.  (FENCES MUST BE CROSSED AND ASKING PERMISSION AT RESIDENCE IS RECOMMENDED). FROM THE 668 BRIDGE OVER HATCHER CREEK, THE SITE IS APPROX 1,000 FEET DOWNSTREAM AND APPROX 500 FEET SOUTHWEST AND UPSLOPE FROM THE STREAM.  THE SITE IS LOCATED NEAR THE TOP OF THE HOLLOW AND IS PLANTED TO PINES.  ",C,-78.374,37.558,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0,0.9726
249,3/16/2005 7:00 PM,1/22/2018 7:00 PM,MRV109B_101-108,STONE COAL ROAD,COAL,Botetourt,Daleville,10," FROM ROUTE 600 NE TAKE ROUTE 748 TO END OF STATE ROAD AND TRAVEL FOREST ROAD TO SECOND STREAM FORD, SITE IS ON RIGHT STRAIGHT UP MOUNTAIN. ",C,-79.999,37.494,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,10,1.2545
250,3/23/2005 7:00 PM,,MRV104D_801,,IRON,Prince Edward,Prospect,1,FROM FARMVILLE GO WEST ON ROUTE 460 TO ELAM THEN LEFT ON ROUTE 657.  TAKE ROUTE 657 0.8 MILES PAST CALVARY CHURCH.  PARK.  SITE IS APPROX 100 FEET DUE WEST IN WOODS.,C,-78.544,37.25,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,1,1.1380
251,3/23/2005 7:00 PM,9/8/2014 8:00 PM,MRV74A_205,,IRON,Prince Edward,Abilene,1,FROM FARMVILLE GO WEST ON ROUTE 460 TO ELAM THEM LEFT ON ROUTE 657.  TAKE ROUTE 657 0.8 MILES PAST CALVARY CHURCH AND PARK.  SITE IS APPROX 100 FEET DUE WEST INTO THE WOODS.,C,-78.544,37.25,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,1,1.1380
